fonte,origem_tipo,pais,titulo,tipo,fase_produto,categoria,valor,score,ano,link,origem
SPCINE,internacional,Brasil,ATUAÇÃO DA SPCINE TEM FOCO EM CONVERSÃO DE NEGÓCIOS PARA O AUDIOVISUAL PAULISTA NO FESTIVAL BERLINALE 2026 E NO EUROPEAN FILM MARKET,festival,exibicao,audiovisual,,106,2026,https://spcine.com.br/spcine-potencializa-negocios-para-o-audiovisual-paulista-no-festival-berlinale-2026-e-no-european-film-market/,https://spcine.com.br
ANCINE,federal,Brasil,Saiba mais sobre MinC e ANCINE anunciam nova edição do Edital de Coprodução Cinematográfica com o Uruguai,edital,producao,audiovisual,,77,,https://www.gov.br/ancine/pt-br/assuntos/noticias/minc-e-ancine-anunciam-nova-edicao-do-edital-de-coproducao-cinematografica-com-o-uruguai,https://www.gov.br/ancine
ANCINE,federal,Brasil,Seminário para proponentes contemplados nos Editais Cinema e TV -Seleção TV Brasil - EBC,formacao,não identificado,audiovisual,,69,,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/seminario-para-proponentes-contemplados-nos-editais-cinema-e-tv-selecao-tv-brasil-ebc,https://www.gov.br/ancine
ANCINE,federal,Brasil,ANCINE no Conexões Gramado Film Market - Coproduções internacionais,mercado,mercado,audiovisual,,69,,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/ancine-no-conexoes-gramado-film-market-coproducoes-internacionais,https://www.gov.br/ancine
ANCINE,federal,Brasil,Webinário - Chamada de Coprodução Internacional Cinema 2023,formacao,producao,audiovisual,,67,2023,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/webinario-chamada-de-coproducao-internacional-cinema-2023,https://www.gov.br/ancine
SECULT MG,estadual,Brasil,"Rodrigo Câmara assumirá a presidência da Fundação de Arte de Ouro Preto A Secretaria de Estado de Cultura e Turismo de Minas Gerais (Secult-MG) informa que Rodrigo Câmara assumirá a presidência da Fundação de Arte de Ouro Preto (FAOP), sucedendo Wirley Rodrigues Reis...",grant,não identificado,cultura,,61,,https://www.secult.mg.gov.br/noticias-artigos/8804-rodrigo-camara-assumira-a-presidencia-da-fundacao-de-arte-de-ouro-preto,https://www.secult.mg.gov.br
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97028/2024 - Equipamentos audiovisual,edital,não identificado,audiovisual,,57,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97028-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
SPCINE,outro,Brasil,Prefeitura de São Paulo promove ações gratuitas de cinema em celebração ao Oscar 2026,mostra,exibicao,audiovisual,,57,2026,https://spcine.com.br/centro-cultural-sao-paulo-promove-exibicao-do-oscar-2026-e-mostra-especial-sobre-a-premiacao-com-apoio-da-spcine/,https://spcine.com.br
ANCINE,federal,Brasil,Programa de Estágio,edital,não identificado,inovacao,,54,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/servidores/processo-seletivo-edital-para-selecao-de-estagiarios,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,Edital Escolas Livres de Formação em Arte e Cultura,edital,não identificado,cultura,,52,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/edital-escolas-livres-de-formacao-em-arte-e-cultura,https://www.gov.br/cultura/pt-br
Prefeitura SP Cultura,municipal,Brasil,"Jornada do Patrimônio 2026 tem inscrições abertas para edital de credenciamento de roteiros e cursos “São Paulo: Cada Olhar, Uma História” é o tema do evento que celebra o patrimônio histórico da cidade",edital,desenvolvimento,audiovisual,,52,2026,https://prefeitura.sp.gov.br/web/cultura/w/jornada-do-patrim%C3%B4nio-2026-tem-inscri%C3%A7%C3%B5es-abertas-para-edital-de-credenciamento-de-roteiros-e-cursos,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
Creative Europe,internacional,União Europeia,Calls and funding opportunities,grant,não identificado,cultura,,48,,https://culture.ec.europa.eu/funding/calls,https://culture.ec.europa.eu/funding
SECULT MG,estadual,Brasil,"Minas Gerais conquista prêmio nacional de gastronomia e reforça protagonismo no turismo brasileiro Reconhecimentos e indicações mostram um estado que amplia presença, qualifica sua oferta e se afirma entre os destinos mais laureados do país (Foto: Umami Comunicação) Minas Gerais foi ...",mostra,exibicao,inovacao,,46,,https://www.secult.mg.gov.br/noticias-artigos/8805-minas-gerais-conquista-premio-nacional-de-gastronomia-e-reforca-protagonismo-no-turismo-brasileiro,https://www.secult.mg.gov.br
ANCINE,federal,Brasil,Oficina para selecionados na Chamada Pública BRDE/FSA – PRODUÇÃO SELETIVO TV VOD,edital,producao,audiovisual,,44,2013,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/oficina-para-selecionados-na-chamada-publica-brde-fsa-2013-producao-seletivo-tv-vod,https://www.gov.br/ancine
PBH,outro,Internacional,Acesse Edital,edital,não identificado,inovacao,,42,,https://drive.google.com/file/d/1jfZoavkypaNZ1EbO2Nk6F9uEPtRaR2BX/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,outro,Internacional,Acesse Edital,edital,não identificado,inovacao,,42,,https://drive.google.com/file/d/1HpwQvtKMVRlqIkN2QgXX4lOvj9j62WEK/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,outro,Internacional,Acesse Edital,edital,não identificado,inovacao,,42,,https://drive.google.com/drive/folders/1SXtYArRwZNCHlp9dJE0EJZw7W6nfZsjR?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97001/2024 - R.P. Açúcar e outros,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97001-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97004/2024 - Carnes - Rest. Popular,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97004-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97007/2024 - Ferramenta (software) Due Diligence,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97007-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97010/2024 - Seminário Aeroporto Carlos Prates,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97010-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97012/2024 - R.P. de Produtos descartáveis,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97012-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97013/2024 - R.P. Artigos para higiene pessoal,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97013-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97014/2024 - R.P. Utensílios para limpeza,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97014-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97015/2024 - R.P. Artigos de papelaria,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97015-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97016/2024 - R.P. Utensílios para escritório,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97016-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97017/2024 - R.P. Material para escritório - canetas e outros,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97017-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97018/2024 - R.P. Artigos para escritório,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97018-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97021/2024 - R.P. Sacos para lixo,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97021-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,"Edital - Pregão Eletrônico nº 97029/2024 - R.P. Gêneros alimentícios - Açucar,Temperos e outros",edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97029-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97030/2024 - Locação de barracas e malhas tensionadas,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97030-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97033/2024 - R.P. Material Elétrico - Artigos Elétricos,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97033-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97034/2024 - R.P. Descartáveis para Refeitório e Cozinha,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97034-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - Pregão Eletrônico nº 97042/2024 - R.P. Fraldas descartáveis,edital,não identificado,inovacao,,42,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97042-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2026,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97005-2026-pericia-medica.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
