fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem
ANCINE,federal,Brasil,noticia,Programa de Estágio,trabalho,nao identificado,nao identificado,inovacao,,56,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/servidores/processo-seletivo-edital-para-selecao-de-estagiarios,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Sistema de Acompanhamento da Distribuição em Salas de Exibição - SADIS,mostra,distribuicao,distribuicao_circulacao,geral,,10,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/perguntas-frequentes1/sistema-de-acompanhamento-da-distribuicao-em-salas-de-exibicao-sadis,https://www.gov.br/ancine
PBH,outro,Brasil,noticia,"Ata de sessão pública, Adjudicação e Homologação",mostra,nao identificado,festival_inscricao,inovacao,,10,,https://drive.google.com/file/d/1uidEkiqd4ufvzAYlqa-thCaIfTbARwxK/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
ANCINE,federal,Brasil,noticia,Filmagens Estrangeiras no Brasil,formacao,nao identificado,formacao_mentoria,audiovisual,,0,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/perguntas-frequentes1/filmagens-estrangeiras-no-brasil,https://www.gov.br/ancine
MinC Brasil,federal,Internacional,noticia,Creative Commons Atribuição-SemDerivações 3.0 Não Adaptada Todo o conteúdo deste site está publicado sob a licença Creative Commons Atribuição-SemDerivações 3.0 Não Adaptada .,outro,nao identificado,nao identificado,cultura,,0,,https://creativecommons.org/licenses/by-nd/3.0/deed.pt_BR,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Prêmio Pontos de Leitura 2023,formacao,nao identificado,formacao_mentoria,cultura,,-6,2023,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/premio-pontos-de-leitura-2023,https://www.gov.br/cultura/pt-br
ANCINE,federal,Brasil,noticia,"GOV.BR GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pes GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pessoais Serviços para Imigrantes Política e Orçamento Educacionais Educação Profissional e Tec",grant,nao identificado,nao identificado,inovacao,,-8,,https://www.gov.br/ancine/pt-br/pagina-inicial,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,noticia,"GOV.BR GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pes GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pessoais Serviços para Imigrantes Política e Orçamento Educacionais Educação Profissional e Tec",grant,nao identificado,nao identificado,cultura,,-8,,https://www.gov.br/cultura/pt-br/pagina-inicial,https://www.gov.br/cultura/pt-br
SECULT MG,estadual,Brasil,noticia,Editais Editais Fundo Estadual de Cultura (FEC) Editais Dúvidas Frequentes Política Nacional Aldir Blanc (PNAB) Cronograma Documentação Editais Fase de Habilitação Lei Paulo Gustavo (LPG) Cronograma Editais Resultado Preliminar Resultado Final Suplentes,outro,nao identificado,nao identificado,cultura,,-8,,https://www.secult.mg.gov.br,https://www.secult.mg.gov.br
SECULT MG,estadual,Brasil,noticia,Instituições Instituições Arquivo Público Mineiro Biblioteca Pública Estadual Circuito Liberdade Museus Centro de Arte Popular Museu Casa Alphonsus de Guimaraens Museu Casa Guignard Museu Casa Guimarães Rosa Museu do Crédito Real Museu dos Militares Mineiros Museu Mineiro Rádio Inconfidência Rede Minas Orgãos Vi Instituições Arquivo Público Mineiro Biblioteca Pública Estadual Circuito Liberdade Museus Centro de Arte Popular Museu Casa Alphonsus de Guimaraens Museu Casa Guignard Museu Casa Guimarães Rosa Museu do Crédito Real Museu dos Militares Mineiros Museu Mineiro Rádio Inconfidência Rede Minas Orgãos Vinculados Fundação Clóvis Salgado Fundação de Arte de Ouro Preto IEPHA Orquestra Filarm,outro,nao identificado,nao identificado,cultura,,-8,,https://www.secult.mg.gov.br,https://www.secult.mg.gov.br
