fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem
Prefeitura SP Cultura,municipal,Brasil,oportunidade,"Jornada do Patrimônio 2026 tem inscrições abertas para edital de credenciamento de roteiros e cursos “São Paulo: Cada Olhar, Uma História” é o tema do evento que celebra o patrimôn Prefeitura de São Paulo oferece cursos gratuitos de teatro e cinema pelo Programa Vocacional Aulas são realizadas em EMIAs, Casas de Cultura e CEUs com inscrições presenciais Abre e Fecha - Suspensão de Expediente e Feriado Tiradentes Confira o funcionamento dos equipamentos municipais da Secretaria",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,197,2026,https://prefeitura.sp.gov.br/web/cultura/w/jornada-do-patrim%C3%B4nio-2026-tem-inscri%C3%A7%C3%B5es-abertas-para-edital-de-credenciamento-de-roteiros-e-cursos,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
ANCINE,federal,Brasil,oportunidade,Eventos de Capacitação Eventos de Capacitação Oficina para selecionados na Chamada Pública BRDE/FSA – PRODUÇÃO SELETIVO TV VOD Seminário para proponentes contemplados nos Editais Cinema e TV -Seleção TV Brasil - EBC Webinário - Manual de Prestação de Contas Webinário - Contratação de Projetos do FSA Webinário - Cinema nas Eventos de Capacitação Oficina para selecionados na Chamada Pública BRDE/FSA – PRODUÇÃO SELETIVO TV VOD Seminário para proponentes contemplados nos Editais Cinema e TV -Seleção TV Brasil - EBC Webinário - Manual de Prestação de Contas Webinário - Contratação de Projetos do FSA Webinário - Cinema nas Cidades - Apoio aos Pequenos Exibidores 2023 - Execução e Prestação de Cont,edital,producao,formacao_mentoria,audiovisual,,105,2023,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao,https://www.gov.br/ancine
SPCINE,federal,Brasil,oportunidade,"Lei 13.303/2016 SOBRE A SPCINE A Spcine é a empresa pública de fomento ao cinema e audiovisual da Prefeitura de São Paulo, vinculada à Secretaria Municipal de Cultura e Economia Criativa. Atua como um escritório de desenvolvimento, financiamento e implementação de programas e políticas para os setores de cinema, TV, games e novas mídias. Seu objetivo é reconhecer e estimular o potencial econômico e criativo do audiovisual paulista e seu impacto em âmbito cultural e social, nas esferas nacional e internacional.",outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,97,2016,http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13303.htm,https://spcine.com.br
SPCINE,municipal,Brasil,oportunidade,"Lei 15.929/2013 SOBRE A SPCINE A Spcine é a empresa pública de fomento ao cinema e audiovisual da Prefeitura de São Paulo, vinculada à Secretaria Municipal de Cultura e Economia Criativa. Atua como um escritório de desenvolvimento, financiamento e implementação de programas e políticas para os setores de cinema, TV, games e novas mídias. Seu objetivo é reconhecer e estimular o potencial econômico e criativo do audiovisual paulista e seu impacto em âmbito cultural e social, nas esferas nacional e internacional.",outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,97,2013,http://legislacao.prefeitura.sp.gov.br/leis/lei-15929-de-20-de-dezembro-de-2013,https://spcine.com.br
PBH,municipal,Brasil,oportunidade,Edital - Pregão Eletrônico nº 97028/2024 - Equipamentos audiovisual,edital,nao identificado,nao identificado,audiovisual,,77,2024,https://prefeitura.pbh.gov.br/fazenda/licitacao/pregao-eletronico-97028-2024,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
ANCINE,federal,Brasil,oportunidade,Seminário para proponentes contemplados nos Editais Cinema e TV -Seleção TV Brasil - EBC,formacao,nao identificado,formacao_mentoria,audiovisual,,69,,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/seminario-para-proponentes-contemplados-nos-editais-cinema-e-tv-selecao-tv-brasil-ebc,https://www.gov.br/ancine
ANCINE,federal,Brasil,oportunidade,Webinário - Chamada de Coprodução Internacional Cinema 2023,formacao,producao,producao_obra,audiovisual,,67,2023,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/webinario-chamada-de-coproducao-internacional-cinema-2023,https://www.gov.br/ancine
SPCINE,outro,Internacional,oportunidade,"Inscreva-se na nossa newsletter! SOBRE A SPCINE A Spcine é a empresa pública de fomento ao cinema e audiovisual da Prefeitura de São Paulo, vinculada à Secretaria Municipal de Cultura e Economia Criativa. Atua como um escritório de desenvolvimento, financiamento e implementação de programas e políticas para os setores de cinema, TV, games e novas mídias. Seu objetivo é reconhecer e estimular o potencial econômico e criativo do audiovisual paulista e seu impacto em âmbito cultural e social, nas esferas nacional e internacional.",outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,67,,https://forms.office.com/Pages/ResponsePage.aspx?id=e32VdqTr3EG9EZX3rPsiACg5jEuSxbxMhPVJLCLSPiRURFhIMDJEU1AyTUwyVE5EUTMwVDdES01DUS4u,https://spcine.com.br
PBH,outro,Brasil,oportunidade,Ata de Sorteio Ata de Sorteio e Vídeo,outro,nao identificado,nao identificado,audiovisual,,65,,https://drive.google.com/file/d/1YmrT-FDHnkkDHzyDvBvBvP7W2Owiujia/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,outro,Brasil,oportunidade,Vídeo Ata de Sorteio e Vídeo,outro,nao identificado,nao identificado,audiovisual,,65,,https://drive.google.com/file/d/18aEgS7j1RSUzpg0qHcts9x8mufUWrYPh/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
