fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem
São Paulo Film Commission,outro,Brasil,noticia,"Decreto Nº 56.905 SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/wp-content/uploads/Decreto-Film-Commission-1.pdf,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"Decreto de Filmagens SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/wp-content/uploads/Decreto-Film-Commission-1.pdf,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"Manual de Identidade Visual SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/logos/,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"Perguntas Frequentes SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/sao-paulo-film-commission/,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"Preços públicos para filmagens na cidade de São Paulo SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,2026,https://spcine.com.br/wp-content/uploads/Precos-2026-1.pdf,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"aqui . Leia os procedimentos necessários para a autorização aqui . SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/wp-content/uploads/AUTORIZACAO-ESPECIAL-DE-TRANSITO-PARA-CAMINHOES-AETC.pdf,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"aqui SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/wp-content/uploads/SPFilm-Guia-de-Zoneamento.pdf,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Brasil,noticia,"aqui SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://spcine.com.br/wp-content/uploads/Cartilha-ZER-Interna.pdf,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Internacional,noticia,"distribuidoras produtoras , distribuidoras , estúdios SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://form.jotform.com/222443882703658,https://spcine.com.br/spfilmcommission/
São Paulo Film Commission,outro,Internacional,noticia,"estúdios produtoras , distribuidoras , estúdios SÃO PAULO FILM COMMISSION A São Paulo Film Commission oferece assistência para a realização de produções audiovisuais na capital paulista. A missão é transformar a cidade em um cenário a céu aberto, facilitando as filmagens nacionais e estrangeiras. A proposta é que as diversas paisagens de São Paulo sirvam de locações para produções de cinema, TV e demais plataformas. Além de movimentar a economia do audiovisual, a",outro,producao,producao_obra,audiovisual,,145,,https://form.jotform.com/222406560226650,https://spcine.com.br/spfilmcommission/
