fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem
Reveja as Imersões,estadual,Brasil,edital,"ATO DE CONVOCAÇÃO DE PROPONENTES SELECIONADOS 013 Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,338,,https://secult.es.gov.br/media/convoca%C3%A7%C3%A3o/ATO%20DE%20CONVOCA%C3%87%C3%83O%20DE%20PROPONENTES%20SELECIONADOS%20013.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"ATO DE CONVOCAÇÃO- Defesa Oral 013 Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,338,2019,https://secult.es.gov.br/media/2019/ATO%20DE%20CONVOCA%C3%87%C3%83O-%20Defesa%20Oral%20013.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo I - Ficha de Inscrição Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,322,,https://secult.es.gov.br/media/013/Anexo%20I%20-%20Ficha%20de%20Inscri%C3%A7%C3%A3o.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"ATA COMISSÃO JULGADORA 013 Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,,https://secult.es.gov.br/media/Funcultura%20-%202019/ATA%20COMISS%C3%83O%20JULGADORA%20013.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo II - Declaração de Participação Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,,https://secult.es.gov.br/media/013/Anexo%20II%20-%20Declara%C3%A7%C3%A3o%20de%20Participa%C3%A7%C3%A3o.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo III - Formulário de Projetos Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,,https://secult.es.gov.br/media/013/Anexo%20III%20-%20Formul%C3%A1rio%20de%20Projetos.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo IV - Planilha de Custos Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,,https://secult.es.gov.br/media/013/Anexo%20IV%20-%20Planilha%20de%20Custos.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo V - Minuta Termo de Compromisso Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,,https://secult.es.gov.br/media/013/Anexo%20V%20-%20Minuta%20Termo%20de%20Compromisso.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo VII - Parâmetros para Edital de Desenvolvimento Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,,https://secult.es.gov.br/media/013/Anexo%20VII%20-%20Par%C3%A2metros%20para%20Edital%20de%20Desenvolvimento.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Anexo VIII - Formulário de recurso Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,formacao_mentoria,audiovisual,,298,,https://secult.es.gov.br/media/013/Anexo%20VIII%20-%20Formul%C3%A1rio%20de%20recurso.doc,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Aviso de aumento de projetos selecionados Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,2019,https://secult.es.gov.br/media/2019/Aviso%20aumento%20projetos%20selecionados%20013%20para%20Site.pdf,https://secult.es.gov.br/editais2019
Reveja as Imersões,estadual,Brasil,edital,"Baixar Edital 013 - Desenvolvimento de Projetos para TV Seleção de Projetos para Desenvolvimento de Projetos de Obras Audiovisuais para Televisão, visando à elaboração e estruturação de projetos de minisséries, microsséries, seriados ou séries, nos gêneros ficção, animação ou documentário, para exibição em televisão. Conteúdo Atualização Formato Tamanho Edital 013 - Desenvolvimento de Projetos para TV - alterações valor e p",edital,desenvolvimento,desenvolvimento_roteiro,audiovisual,,298,2019,https://secult.es.gov.br/media/2019/Edital%20013%20-%20Desenvolvimento%20de%20Projetos%20para%20TV%20-%20altera%C3%A7%C3%B5es%20valor%20e%20projetos.pdf,https://secult.es.gov.br/editais2019
